Title,Description,Priority,Labels,Status,Estimate,Blocked By
"[GAP-001] Gap Catalog Creation","Create structured catalog of all 95 gaps with priorities, dependencies, and implementation plan -",0,"gap-remediation,phase-0-setup",Backlog,2,"** GAP-002, all implementation phases"
"[GAP-002] Linear Issue Structure","Document Linear issue templates for batch creation with proper labels, descriptions, and dependency relationships -",0,"gap-remediation,phase-0-setup",Backlog,2,"** All implementation work tracking"
"[GAP-003] LocationStockResponse Type Mismatch","`warehouse.tsx` expects `items: LocationStockItem[]` but `inventory.ts` returns `items: InventoryItem[]` -",0,"gap-remediation",Backlog,2,"** GAP-019 (warehouse ops endpoint), GAP-053 (warehouse tests)"
"[GAP-004] WarehouseOpsPayload Type Missing","`warehouse.tsx` uses `WarehouseOpsPayload` but type is not defined in `inventory.ts` -",0,"gap-remediation",Backlog,2,"** GAP-019 (warehouse ops endpoint)"
"[GAP-005] MarketplaceOrder Type Missing","`marketplace.tsx` uses `MarketplaceOrder` type but it's not defined in `marketplace.ts` -",0,"gap-remediation",Backlog,2,"** GAP-025 (marketplace sync endpoint)"
"[GAP-006] Cin7Fulfilment Schema Mismatch","`fulfilment/page.tsx` expects different schema than backend provides (missing `shipment_tracking` and `packed_items`) -",0,"gap-remediation",Backlog,2,"** GAP-023 (fulfilment endpoints)"
"[GAP-007] PaymentMethodEnum Missing","`billing/page.tsx` uses `PaymentMethodEnum` but it's not defined -",0,"gap-remediation",Backlog,2,"** GAP-011 (payment methods endpoint)"
"[GAP-008] SLAEscalationPayload Type Missing","`workflows/page.tsx` uses `SLAEscalationPayload` but type not defined -",0,"gap-remediation",Backlog,2,"** GAP-027 (SLA escalation endpoint)"
"[GAP-009] ReconciliationMatch Type Missing","`reconciliation/page.tsx` uses `ReconciliationMatch` type not defined in API client -",0,"gap-remediation,phase-1-types,domain-type-contract",Backlog,2,"** GAP-033 (reconciliation endpoints)"
"[GAP-010] POST /api/billing/payment-methods","Create payment method for customer billing -",0,"gap-remediation",Backlog,2,""
"[GAP-011] GET /api/billing/payment-methods/enum","Return available payment method types as enum -",0,"gap-remediation",Backlog,2,""
"[GAP-012] POST /api/billing/dunning/send-letter","Send dunning letter for overdue invoice -",0,"gap-remediation",Backlog,2,""
"[GAP-013] GET /api/billing/subscription-health","Dashboard widget showing subscription health metrics -",0,"gap-remediation",Backlog,2,""
"[GAP-014] POST /api/billing/retry-failed-payment","Retry failed payment with optional new payment method -",0,"gap-remediation",Backlog,2,""
"[GAP-015] POST /api/inventory/auto-reorder","Trigger auto-reorder for products below reorder point -",0,"gap-remediation",Backlog,2,""
"[GAP-016] POST /api/procurement/three-way-match","Perform three-way match: PO + GRN + Invoice -",0,"gap-remediation",Backlog,2,""
"[GAP-017] GET /api/procurement/unmatched-po-items","List purchase order items not yet matched to GRN/invoice -",0,"gap-remediation",Backlog,2,""
"[GAP-018] POST /api/inventory/bulk-adjust","Bulk adjust inventory quantities (stock take results) -",0,"gap-remediation",Backlog,2,""
"[GAP-019] GET /api/inventory/stock-takes/active","Get active stock take sessions -",0,"gap-remediation",Backlog,2,""
"[GAP-020] POST /api/inventory/cycle-count/generate","Generate cycle count schedule for ABC classification -",0,"gap-remediation",Backlog,2,""
"[GAP-021] POST /api/workflows/sla/escalate","Manually escalate workflow instance for SLA breach -",0,"gap-remediation",Backlog,2,""
"[GAP-022] GET /api/approvals/pending-my-approval","Get approvals pending for current user -",0,"gap-remediation",Backlog,2,""
"[GAP-023] POST /api/approvals/bulk-approve","Approve multiple workflow approvals in one request -",0,"gap-remediation",Backlog,2,""
