name,sku,category,price_aud,cost_aud,description,stock
Prochem Everest 870 Truckmount,CCW-TRK-001,heavy_machinery,28500.00,14250.00,"High-performance truckmount carpet cleaning system with 210 CFM airflow and 500 PSI water pressure. Direct-drive design for maximum reliability and reduced maintenance downtime.",3
Sapphire Scientific 370SS Truckmount,CCW-TRK-002,heavy_machinery,32900.00,16450.00,"Premium slide-in truckmount unit featuring 1200 RPM blower and dual 3-stage vacuum system. Ideal for large commercial carpet and upholstery cleaning operations.",2
US Products Renegade 2.8 Truckmount,CCW-TRK-003,heavy_machinery,24750.00,12375.00,"Compact belt-drive truckmount with 175 CFM airflow and adjustable heat exchanger. Suits operators transitioning from portables to truckmount systems.",4
Prochem Apex GTX Truckmount,CCW-TRK-004,heavy_machinery,41200.00,20600.00,"Top-of-the-line direct-drive truckmount with 1400 RPM vacuum blower and 600 PSI pump. Designed for high-production commercial carpet cleaning with superior heat recovery.",2
Sapphire Scientific 370 Extreme Truckmount,CCW-TRK-005,heavy_machinery,38500.00,19250.00,"High-capacity slide-in truckmount rated for continuous commercial use. Features dual vacuum inlets and heat exchange system optimised for Australian climate conditions.",2
Chemspec Euro 3000 Truckmount,CCW-TRK-006,heavy_machinery,22900.00,11450.00,"Reliable mid-range truckmount unit with 160 CFM and 500 PSI for general-purpose carpet cleaning. Popular entry-level unit for owner-operator businesses.",5
Tennant T5 Ride-On Floor Scrubber,CCW-FLR-001,heavy_machinery,18500.00,9250.00,"Battery-powered 20-inch ride-on auto-scrubber with 120L solution tank and 130L recovery tank. Designed for medium to large commercial hard floor surfaces.",3
Tennant T7AMR Autonomous Floor Scrubber,CCW-FLR-002,heavy_machinery,45000.00,22500.00,"Robotic autonomous walk-behind scrubber with LiDAR navigation and 45L dual-tank capacity. Reduces operator hours on repetitive floor cleaning circuits.",1
Clarke FOCUS II 20 Disc Floor Scrubber,CCW-FLR-003,heavy_machinery,8900.00,4450.00,"Walk-behind disc floor scrubber with 20-inch cleaning path and 34L solution tank. Suits retail, hospitality, and healthcare environments requiring daily floor maintenance.",5
Polivac C27 Floor Buffer/Polisher,CCW-FLR-004,heavy_machinery,1450.00,725.00,"Single-disc 450 RPM floor polisher with 27-inch pad driver. Australian-made unit ideal for spray buffing, stripping, and burnishing hard floors.",8
Nilfisk BR 855S Ride-On Sweeper-Scrubber,CCW-FLR-005,heavy_machinery,62000.00,31000.00,"Large-format ride-on combination sweeper and scrubber with 160L solution tank and 2100mm cleaning width. Suited for warehouses, manufacturing plants, and large retail centres.",1
Prochem Sprint 500 Portable Extractor,CCW-EXT-001,power_tools,3200.00,1600.00,"Compact 500 PSI portable carpet extractor with dual 3-stage motors and 16-litre solution tank. Suitable for residential and light commercial cleaning jobs.",10
Chemspec Spectrum 12 Portable Extractor,CCW-EXT-002,power_tools,4850.00,2425.00,"Professional 12-gallon portable extractor with 200 PSI working pressure and dual vacuum motors. Ideal for truck-mounted operators needing a portable backup unit.",7
Sapphire Scientific TM-SE Portable Extractor,CCW-EXT-003,power_tools,5500.00,2750.00,"High-performance portable carpet extractor with 500 PSI electric heating element and 16-litre capacity. Bridges the gap between portable and truckmount performance.",5
Prochem Galaxy 300 Upholstery Extractor,CCW-EXT-004,power_tools,2150.00,1075.00,"Dedicated upholstery and spot cleaning extractor with 20-litre tank and adjustable 0-250 PSI pressure control. Includes 2.4m flex upholstery hose and hand tool.",12
Karcher Puzzi 10/1 Spray Extraction Machine,CCW-EXT-005,power_tools,980.00,490.00,"Compact 10-litre spray extraction machine for upholstery and car interior cleaning. Lightweight and portable with self-contained detergent injection system.",15
Karcher SE 4001 Carpet Washer,CCW-EXT-006,power_tools,620.00,310.00,"Entry-level wet and dry carpet cleaning machine with 4-litre clean water tank. Suitable for small residential jobs and auto detailing interiors.",18
