Identifier,Title,Description,Priority,Estimate (hours),Labels,Parent Issue
DEEP-1,[EPIC] Missing Core Routes & Modules,Implement missing API routes and modules that are referenced but not implemented,High,,epic;missing-modules;backend;infrastructure,
ISS-D001,Implement Approvals Workflow Router,Router imported in main.py but commented out with TODO: Implement approvals workflow. Create full approvals system with workflow engine.,High,16,backend;approvals;workflow;missing,DEEP-1
ISS-D002,Implement Autonomous Development Router,Router referenced but file does not exist. Create autonomous development system for self-improving code.,High,24,backend;autonomous-dev;ai;missing,DEEP-1
ISS-D003,Implement PRD Generation Router,Router commented out with TODO: Fix PRD dependencies. Complete PRD generation with AI integration.,High,12,backend;prd;ai-generation;missing,DEEP-1
ISS-D004,Implement Recommendations Router,Router commented out with TODO: File does not exist yet. Build product recommendation engine.,High,16,backend;recommendations;ml;missing,DEEP-1
ISS-D005,Implement Semantic Search Router,Router commented out with TODO: File does not exist yet. Full semantic search with vector embeddings.,High,20,backend;search;vector;embeddings;missing,DEEP-1
ISS-D006,Implement Translation Management Router,Router commented out with TODO: File does not exist yet. Complete i18n management system.,Medium,12,backend;i18n;translations;missing,DEEP-1
ISS-D007,Implement Shopify Theme API Router,Router commented out with TODO: File does not exist. Shopify theme customization endpoints.,Medium,8,backend;shopify;theme;missing,DEEP-1
ISS-D008,Implement AP2 Integration Router,Router commented out with TODO: File does not exist. Google AP2 frictionless payments.,High,12,backend;ap2;payments;google;missing,DEEP-1
DEEP-2,[EPIC] Production Security Hardening,Critical security items marked as TODO for production readiness,Critical,,epic;security;production;hardening,
ISS-D009,Encrypt Xero Tokens at Rest,Xero auth.py has TODO: Encrypt in production for access_token and refresh_token. Implement proper encryption.,Critical,4,security;encryption;xero;tokens;production,DEEP-2
ISS-D010,Implement Webhook Signature Verification,Shipments router has TODO: Verify webhook signature (carrier-specific). Production security requirement.,High,6,security;webhooks;signature;verification,DEEP-2
ISS-D011,Implement Demo Auth Email Sending,demo_auth.py has TODO: Send email with reset link. Currently logs only - security risk for prod.,High,4,security;auth;email;password-reset,DEEP-2
ISS-D012,Implement Portal Auth Email Notifications,portal_auth.py has TODO: Send email via SendGrid/notification service. Magic link emails not sent.,High,4,security;auth;email;notifications,DEEP-2
ISS-D013,Implement Container Stock Integration,containers.py has TODO: Add stock to warehouse inventory. ProductStockByLocation integration pending.,High,6,inventory;containers;warehouse;integration,DEEP-2
ISS-D014,Implement Backorder Event Publishing,backorders.py has TODO: Publish event when event bus is initialized. Event-driven architecture incomplete.,Medium,4,events;backorders;event-bus;architecture,DEEP-2
DEEP-3,[EPIC] AI & ML Infrastructure Gaps,Missing AI/ML components for full autonomous operation,High,,epic;ai;ml;infrastructure;gaps,
ISS-D015,Complete AI Quote Generation Integration,quotes.py has TODO: Integrate with AI quote generation service at /api/ai/generate/quote. Currently mocked.,High,8,ai;quotes;generation;integration,DEEP-3
ISS-D016,Implement Translation Auth Context,translations.py has TODO: Get from auth context for translated_by field. Audit trail incomplete.,Medium,4,i18n;auth;audit;translations,DEEP-3
ISS-D017,Implement Webhook Forwarding Logic,webhooks.py has multiple TODOs for forwarding to configured webhook URLs. Currently only logs.,Medium,6,webhooks;forwarding;integrations,DEEP-3
ISS-D018,Implement AP2 Signature Verification,integrations/ap2.py has TODO: Implement signature verification logic. Security requirement for payments.,Critical,6,payments;ap2;signature;security,DEEP-3
ISS-D019,Implement AP2 Webhook Processing,integrations/ap2.py has TODO: Process webhook based on event_type. Payment webhooks not processed.,High,8,payments;ap2;webhooks;processing,DEEP-3
