Identifier,Title,Description,Priority,Estimate (hours),Labels,Parent Issue,Assignee,Due Date
EPIC-1,Backend Stability & Bug Fixes,Fix all critical backend issues preventing production deployment. Quote module has 33% failure rate that must be resolved before deployment.,Critical,,epic;backend;production;blocking,,,
ISS-001,Fix Quote Module 405 Errors,HTTP method configuration issues on quote endpoints causing 405 Method Not Allowed errors. Review FastAPI route decorators in quotes.py. FastAPI route decorators may be missing HTTP methods or have endpoint path conflicts.,Critical,3,bug;api;quotes;405;blocking,EPIC-1,,
ISS-002,Fix Quote Module 404 Errors,Quote resources created but cannot be retrieved. 300 scenarios failing. Investigate UUID generation database constraints cascade deletes session management and race conditions. Add comprehensive logging.,Critical,4,bug;api;quotes;404;database;blocking,EPIC-1,,
ISS-003,Fix Quote Module 422 Errors,Pydantic validation failures on quote create/update. Date format issues missing required fields price validation status transitions. 200 scenarios failing with validation errors.,Critical,3,bug;api;quotes;422;validation;blocking,EPIC-1,,
ISS-004,Deploy Microsecond Timestamp Fix,Race condition fix is coded but not deployed. Currently limited to max_concurrent=2. Rebuild container with updated code verify zero conflicts at max_concurrent=5. 98 race condition failures under load.,Critical,2,deployment;backend;race-conditions;blocking,EPIC-1,,
ISS-005,Fix 30 Internal Server Errors,Unhandled exceptions causing 500 errors. 30 scenarios failed. Review logs identify patterns add proper exception handling. Check database connection pool null pointers async/await issues.,High,4,bug;backend;stability;500-error,EPIC-1,,
EPIC-2,Performance Optimization,Optimize database queries and search performance. Current customer wildcard search takes 3500ms product search 1700ms. Target sub-second response times.,High,,epic;performance;database,,,
ISS-006,Add PostgreSQL Trigram Indexes,Slow customer wildcard searches 3500ms P95. Add pg_trgm extension and indexes on company_name contact_name product name sku. Expected improvement: 3500ms to under 1000ms.,High,2,database;performance;indexing;pg_trgm,EPIC-2,,
ISS-007,Optimize Foreign Key Indexes,Add B-tree indexes on foreign key columns: orders.customer_id order_items.order_id order_items.product_id quotes.customer_id quote_items.quote_id quote_items.product_id.,Medium,1,database;performance;indexing,EPIC-2,,
ISS-017,Database Query Performance Tuning,Analyze slow queries using EXPLAIN ANALYZE. Optimize frequently accessed queries. Review N+1 query problems. Implement query result caching where appropriate.,Medium,3,database;performance;tuning,EPIC-2,,
EPIC-3,Shopify Production Integration,Complete Shopify live mode integration. Authentication failing with 401. Bidirectional sync not implemented. Real-time inventory sync pending.,High,,epic;integration;shopify;production,,,
ISS-008,Fix Shopify Authentication 401,Shopify API connection failing with 401 Unauthorized. Verify credentials app installation API scopes. Check if private app is installed admin API access token matches required scopes enabled.,High,2,integration;shopify;auth;401;production,EPIC-3,,
ISS-009,Implement Bidirectional Product Sync,ERP to Shopify and Shopify to ERP product synchronization with conflict resolution. Create webhook endpoints handle sync conflicts add retry logic create sync status dashboard.,High,8,integration;shopify;products;sync;webhooks,EPIC-3,,
ISS-010,Implement Real-Time Inventory Sync,Real-time inventory synchronization via webhooks. Handle orders cancellations stock updates. Configure Shopify inventory location ID implement retry logic.,High,6,integration;shopify;inventory;webhooks;real-time,EPIC-3,,
